Datetime,Close,Ensemble_Signal,CB_Signal,Equity_Ensemble,Equity_CB,Equity_BH,Weight_CB,Weight_KAN,Weight_Mamba,Ensemble_PnL,CB_PnL
2026-02-26 10:01:00,77536,-1,0,0.10272011341562837,0.041359641106818584,0.07840738203565237,0.20895913,0.18188936,0.60915154,0.0024439884583907848,-0.0
2026-02-26 10:03:00,77535,-1,0,0.10575560513836446,0.041359641106818584,0.07537189031291627,0.20746571,0.19791567,0.5946186,0.0030354917227360914,-0.0
2026-02-26 10:04:00,77495,-1,0,0.10879266604924336,0.041359641106818584,0.07233482940203738,0.20509455,0.19854996,0.5963555,0.00303706091087889,-0.0
2026-02-26 10:08:00,77488,-1,0,0.11227021097082848,0.041359641106818584,0.06885728448045225,0.1926498,0.20056345,0.6067867,0.0034775449215851263,-0.0
2026-02-26 10:12:00,77329,1,0,0.10881906016693042,0.041359641106818584,0.0656061336765542,0.22020215,0.18294272,0.59685516,-0.003451150803898058,-0.0
2026-02-26 11:12:00,77141,1,0,0.1073661183533086,0.041359641106818584,0.06415319186293238,0.19801304,0.20188864,0.6000984,-0.0014529418136218256,-0.0
2026-02-26 11:13:00,77158,0,0,0.1072661183533086,0.041359641106818584,0.062285147835806076,0.19794115,0.20176977,0.6002891,-0.0001,-0.0
2026-02-26 11:14:00,77164,-1,0,0.1095664879948408,0.041359641106818584,0.059884778194273874,0.19561219,0.20447068,0.5999171,0.002300369641532203,-0.0
2026-02-26 11:15:00,77105,-1,0,0.11138384424242273,0.041359641106818584,0.058067421946691934,0.2035232,0.19580203,0.60067475,0.0018173562475819393,-0.0
2026-02-26 11:16:00,77091,1,0,0.1093401667531572,0.041359641106818584,0.05622374445742641,0.1894493,0.19529037,0.61526036,-0.0020436774892655237,-0.0
2026-02-26 11:18:00,77070,1,0,0.10778192724814356,0.041359641106818584,0.05466550495241276,0.18776327,0.19945846,0.6127783,-0.0015582395050136432,-0.0
2026-02-26 11:20:00,77073,1,0,0.10619775821586058,0.041359641106818584,0.05308133592012978,0.21409842,0.18625753,0.599644,-0.0015841690322829821,-0.0
2026-02-26 11:21:00,77076,1,0,0.10487351264746306,0.041359641106818584,0.051757090351732246,0.20477676,0.19508374,0.6001395,-0.0013242455683975312,-0.0
2026-02-26 11:48:00,77009,1,0,0.10623606095296845,0.041359641106818584,0.05311963865723763,0.2071362,0.19668968,0.5961741,0.001362548305505383,0.0
2026-02-26 12:21:00,77036,1,0,0.1054179269021785,0.041359641106818584,0.052301504606447675,0.21264057,0.2001665,0.5871929,-0.0008181340507899571,-0.0
2026-02-26 12:22:00,77041,1,0,0.1042100482704967,0.041359641106818584,0.05109362597476588,0.2037614,0.19877245,0.5974662,-0.0012078786316817949,-0.0
2026-02-26 12:23:00,77082,1,0,0.1024441351203886,0.041359641106818584,0.04932771282465778,0.21610087,0.1897308,0.59416837,-0.001765913150108103,-0.0
2026-02-26 12:24:00,77070,1,0,0.10113277871748061,0.041359641106818584,0.048016356421749805,0.2143572,0.18547712,0.60016567,-0.0013113564029079779,-0.0
2026-02-26 12:25:00,77057,1,0,0.09965225896652709,0.041359641106818584,0.046535836670796284,0.18659061,0.1935923,0.6198171,-0.0014805197509535236,-0.0
2026-02-26 12:26:00,77058,1,0,0.0984966172945473,0.041359641106818584,0.0453801949988165,0.1869615,0.192895,0.62014353,-0.0011556416719797837,-0.0
2026-02-26 12:27:00,77043,1,0,0.0973277556325979,0.041359641106818584,0.044211333336867116,0.18796483,0.19218545,0.61984974,-0.0011688616619493866,-0.0
2026-02-26 12:28:00,77040,1,0,0.09624981245140733,0.041359641106818584,0.04313339015567654,0.18808274,0.1914887,0.62042856,-0.001077943181190574,-0.0
2026-02-26 12:29:00,77030,1,0,0.09493777464278537,0.041359641106818584,0.041821352347054586,0.18679956,0.1916259,0.6215746,-0.001312037808621957,-0.0
2026-02-26 12:58:00,76964,1,0,0.09355955804465571,0.041359641106818584,0.04044313574892493,0.21776287,0.19133104,0.5909061,-0.001378216598129657,-0.0
2026-02-26 12:59:00,76958,0,0,0.09345955804465571,0.041359641106818584,0.03875247429774858,0.20860434,0.20295301,0.5884427,-0.0001,-0.0
2026-02-26 13:00:00,76948,1,0,0.09139526589138784,0.041359641106818584,0.036788182144480715,0.18953449,0.19905107,0.6114144,-0.0020642921532678634,-0.0
2026-02-26 13:01:00,76951,1,0,0.08958728818721444,0.041359641106818584,0.03498020444030732,0.20200384,0.20064642,0.59734976,-0.001807977704173396,-0.0
2026-02-26 13:02:00,76957,1,0,0.08768832294251024,0.041359641106818584,0.033081239195603115,0.20846798,0.20281512,0.588717,-0.001898965244704202,-0.0
2026-02-26 13:03:00,76947,1,0,0.08612759064239642,0.041359641106818584,0.03152050689548929,0.20599845,0.1966336,0.5973679,-0.001560732300113822,-0.0
2026-02-26 13:04:00,76947,1,0,0.0845668583422826,0.041359641106818584,0.02995977459537547,0.20209083,0.20183307,0.59607613,-0.001560732300113822,-0.0
2026-02-26 13:05:00,76948,1,0,0.08353966359857723,0.041359641106818584,0.0289325798516701,0.18878496,0.19875632,0.6124587,-0.001027194743705371,-0.0
2026-02-26 13:06:00,76949,1,0,0.08259053302188077,0.041359641106818584,0.027983449274973635,0.20797046,0.20633435,0.58569515,-0.0009491305766964637,-0.0
2026-02-26 13:07:00,76950,1,0,0.08205757751104972,0.041359641106818584,0.027450493764142582,0.21019055,0.2023941,0.58741534,-0.0005329555108310511,-0.0
2026-02-26 14:06:00,76916,1,0,0.08119913020731391,0.041359641106818584,0.026592046460406766,0.22408183,0.18909334,0.58682483,-0.0008584473037358173,-0.0
2026-02-26 14:25:00,76903,1,0,0.08291410678687956,0.041359641106818584,0.02830702303997242,0.20045279,0.20208088,0.59746635,0.0017149765795656526,0.0
2026-02-26 14:26:00,76913,-1,0,0.08124599252998177,0.041359641106818584,0.029775137296870213,0.18504298,0.19557068,0.6193863,-0.0016681142568977948,0.0
2026-02-26 14:27:00,76934,-1,0,0.0798042372357198,0.041359641106818584,0.031216892591132174,0.18532881,0.18992575,0.6247454,-0.0014417552942619612,0.0
2026-02-26 14:37:00,77045,0,1,0.0797042372357198,0.04027271775999583,0.030229969244309422,0.19932868,0.1887958,0.6118755,-0.0001,-0.0010869233468227518
2026-02-26 15:00:00,76983,1,0,0.07848648302524604,0.04017271775999583,0.029112215033835657,0.19790569,0.18628965,0.6158047,-0.0012177542104737646,-0.0001
2026-02-26 15:21:00,76886,1,0,0.07957841325021195,0.04017271775999583,0.030204145258801572,0.20574822,0.19367476,0.600577,0.001091930224965917,0.0
2026-02-26 15:22:00,76894,0,0,0.07947841325021195,0.04017271775999583,0.03132194305380989,0.19787093,0.1997697,0.60235935,-0.0001,0.0
2026-02-26 15:23:00,76842,1,0,0.08126362400948892,0.04017271775999583,0.033207153813086865,0.20659347,0.19730265,0.5961039,0.001785210759276972,0.0
2026-02-26 15:24:00,76840,1,0,0.08321382939909126,0.04017271775999583,0.03515735920268921,0.21462786,0.18342082,0.60195136,0.0019502053896023434,0.0
2026-02-26 15:25:00,76849,1,0,0.08544948380398056,0.04017271775999583,0.037393013607578504,0.21070035,0.18103823,0.60826135,0.002235654404889296,0.0
2026-02-26 15:26:00,76862,-1,0,0.08314402833896464,0.04017271775999583,0.03949846907259441,0.19661213,0.19208066,0.61130726,-0.002305455465015908,0.0
2026-02-26 15:27:00,76852,0,0,0.08304402833896464,0.04017271775999583,0.0416950866462285,0.18578206,0.20205526,0.6121627,-0.0001,0.0
2026-02-26 15:29:00,76917,-1,-1,0.0814889724133749,0.03861766183440609,0.04315014257181824,0.188707,0.1934109,0.6178822,-0.0015550559255897397,-0.0015550559255897397
2026-02-26 16:05:00,76917,-1,0,0.0804104689596271,0.03851766183440609,0.04422864602556604,0.18962222,0.19029722,0.6200806,-0.0010785034537477976,-0.0001
2026-02-26 16:08:00,76954,0,0,0.0803104689596271,0.03851766183440609,0.0456310979487668,0.19103907,0.19615662,0.6128043,-0.0001,0.0
2026-02-26 16:33:00,77049,-1,0,0.08113238531232825,0.03851766183440609,0.04470918159606565,0.20147298,0.19055875,0.6079683,0.0008219163527011456,-0.0
2026-02-26 16:36:00,77056,0,0,0.08103238531232825,0.03851766183440609,0.04361847070807711,0.19531769,0.20259437,0.6020879,-0.0001,-0.0
2026-02-26 16:37:00,77050,-1,0,0.08172439257267985,0.03851766183440609,0.0428264634477255,0.20623687,0.2007531,0.59301007,0.0006920072603516125,-0.0
2026-02-26 17:04:00,76908,-1,0,0.0804639400723412,0.03851766183440609,0.044086915948064145,0.19004531,0.19470558,0.6152491,-0.0012604525003386503,0.0
2026-02-26 17:16:00,76994,-1,0,0.08190665105907852,0.03851766183440609,0.042644204961326836,0.19643204,0.20735475,0.59621316,0.001442710986737311,-0.0
2026-02-26 17:17:00,76981,-1,0,0.08334960585637712,0.03851766183440609,0.041201250164028244,0.21364863,0.19210859,0.59424275,0.0014429547972985934,-0.0
2026-02-26 17:56:00,76918,-1,0,0.08390879907219971,0.03851766183440609,0.040642056948205656,0.20156144,0.19838005,0.6000585,0.0005591932158225895,-0.0
2026-02-26 17:57:00,76920,-1,0,0.08433790828707773,0.03851766183440609,0.04021294773332764,0.19603702,0.20240562,0.6015574,0.0004291092148780153,-0.0
2026-02-26 18:12:00,76867,-1,0,0.0836616438419166,0.03851766183440609,0.04088921217848877,0.20966099,0.19154754,0.59879154,-0.0006762644451611259,0.0
2026-02-26 18:13:00,76875,0,0,0.0835616438419166,0.03851766183440609,0.04159140460805922,0.20977516,0.18897168,0.60125315,-0.0001,0.0
2026-02-26 18:14:00,76870,-1,0,0.08247345007553758,0.03851766183440609,0.04257959837443824,0.19587976,0.19336805,0.61075217,-0.0010881937663790215,0.0
2026-02-26 18:15:00,76879,0,0,0.08237345007553758,0.03851766183440609,0.04352869193139011,0.21038313,0.19278894,0.5968279,-0.0001,0.0
2026-02-26 18:16:00,76889,-1,0,0.08148041315776051,0.03851766183440609,0.044321728849167165,0.22076148,0.19047242,0.58876616,-0.000893036917777056,0.0
2026-02-26 18:17:00,76898,-1,0,0.08060950846677163,0.03851766183440609,0.04519263354015605,0.20368527,0.20034504,0.59596974,-0.000870904690988883,0.0
2026-02-26 18:18:00,76895,0,0,0.08050950846677163,0.03851766183440609,0.046024591158306885,0.21656221,0.18779105,0.59564674,-0.0001,0.0
2026-02-26 18:19:00,76888,-1,0,0.07959047033571477,0.03851766183440609,0.046843629289363746,0.18596816,0.1957799,0.6182519,-0.0009190381310568593,0.0
2026-02-26 18:20:00,76904,-1,0,0.07894052035898098,0.03851766183440609,0.04749357926609754,0.18086633,0.19818337,0.62095034,-0.000649949976733792,0.0
2026-02-26 18:21:00,76907,-1,0,0.07830359008131156,0.03851766183440609,0.048130509543766964,0.2086121,0.18583442,0.6055535,-0.0006369302776694206,0.0
2026-02-26 18:27:00,76965,0,-1,0.07820359008131156,0.03913252782748145,0.0474156435506916,0.20240851,0.1850509,0.6125406,-0.0001,0.0006148659930753635
2026-02-26 18:28:00,76959,0,-1,0.07820359008131156,0.039808440660462366,0.04673973071771068,0.21119273,0.1913683,0.59743893,-0.0,0.0006759128329809121
